
===== threshold = 1 =====
1,1,1000000,1000000,0,0.018231
1,2,1000000,1000000,0,0.050403
1,4,1000000,1000000,0,0.032754
1,8,1000000,1000000,0,0.050646
1,16,1000000,1000000,0,0.060426

===== threshold = 8 =====
8,1,1000000,1000000,0,0.009049
8,2,1000000,1000000,0,0.024176
8,4,1000000,1000000,0,0.023967
8,8,1000000,1000000,0,0.029381
8,16,1000000,1000000,0,0.039482

===== threshold = 64 =====
64,1,1000000,1000000,0,0.008461
64,2,1000000,999936,64,0.020763
64,4,1000000,999936,64,0.023719
64,8,1000000,999936,64,0.047947
64,16,1000000,999936,64,0.047716

===== threshold = 512 =====
512,1,1000000,999936,64,0.008381
512,2,1000000,999424,576,0.020004
512,4,1000000,999424,576,0.022821
512,8,1000000,999424,576,0.042515
512,16,1000000,999424,576,0.039021

===== threshold = 4096 =====
4096,1,1000000,999424,576,0.008399
4096,2,1000000,999424,576,0.020136
4096,4,1000000,999424,576,0.023635
4096,8,1000000,983040,16960,0.041427
4096,16,1000000,983040,16960,0.040249
